category,title,pubDate,description,link,media
b'New York Metropolitan Area',b'Legal Marijuana Sales Expected to Start Within Weeks in New Jersey',"b'Mon, 11 Apr 2022 21:32:41 +0000'",b'A state commission has granted seven medical-marijuana companies permission to start selling cannabis to all adults at 13 dispensaries.',b'https://www.nytimes.com/2022/04/11/nyregion/marijuana-sales-nj.html',https://static01.nyt.com/images/2022/03/24/nyregion/24nj-marijuana/24nj-marijuana-moth.jpg
b'Staten Island (NYC)',b'\xe2\x80\x98S.N.L.\xe2\x80\x99 Star Colin Jost Takes a Spin on Ferryboat He Bought With Pete Davidson',"b'Tue, 12 Apr 2022 01:25:29 +0000'","b'After buying the retired Staten Island ferry at auction in January, the new owners rode it into New York Harbor en route to a temporary home.'",b'https://www.nytimes.com/2022/04/11/nyregion/pete-davidson-colin-jost-staten-island-ferry.html',https://static01.nyt.com/images/2022/04/11/nyregion/11nyferry/11nyferry-moth.jpg
"b'SoHo (Manhattan, NY)'",b'Miya Ponsetto Pleads Guilty to Tackling Black Teen at SoHo Hotel',"b'Tue, 12 Apr 2022 04:49:11 +0000'","b'Miya Ponsetto admitted to committing a hate crime in the 2020 episode, parts of which were captured in a widely seen video.'",b'https://www.nytimes.com/2022/04/11/nyregion/miya-ponsetto-soho-hotel-guilty-plea.html',https://static01.nyt.com/images/2022/04/11/nyregion/11soho/11soho-moth.jpg
b'New York City',"b'As Remote Work Becomes Permanent, Can Manhattan Adapt?'","b'Tue, 12 Apr 2022 00:46:50 +0000'","b'With more companies adopting hybrid work, New York City\xe2\x80\x99s economy, which relies on commuters and full office buildings, faces an uncertain future.'",b'https://www.nytimes.com/2022/04/11/nyregion/remote-work-hybrid-manhattan.html',https://static01.nyt.com/images/2022/04/11/nyregion/00ny-rto/00ny-rto-moth.jpg
b'Mayors',"b'Mayor Adams\xe2\x80\x99s First 100 Days: A Focus on Crime, Covid and Crises'","b'Mon, 11 Apr 2022 15:47:59 +0000'",b'Eric Adams has served as a cheerleader for New York City\xe2\x80\x99s revival while taking an aggressive stance against homeless encampments and signs of lawlessness.',b'https://www.nytimes.com/2022/04/10/nyregion/eric-adams-100-days.html',https://static01.nyt.com/images/2022/04/08/nyregion/00mayor-100days-promo/00mayor-100days-promo-moth.jpg
b'New York City',b'New York\xe2\x80\x99s Bail Laws Are Changing Again. Here\xe2\x80\x99s How.',"b'Mon, 11 Apr 2022 16:29:58 +0000'",b'Governor Kathy Hochul pushed for a rewrite of the 2019 laws governing the criminal justice system.',b'https://www.nytimes.com/2022/04/11/nyregion/new-york-bail-laws.html',https://static01.nyt.com/images/2022/04/11/nyregion/11ny-bail/11ny-bail-moth-v2.jpg
"b'Police Department (Buffalo, NY)'",b'Arbitrator Clears Buffalo Police Officers Who Shoved Protester',"b'Mon, 11 Apr 2022 18:04:55 +0000'","b'A video from June 2020 showed Martin Gugino, 75 at the time, motionless and bleeding after being pushed to the ground. The footage fueled outrage during a summer of unrest over police violence.'",b'https://www.nytimes.com/2022/04/11/nyregion/martin-gugino-buffalo-police-ruling.html',https://static01.nyt.com/images/2022/04/11/lens/11xp-buffalo-01/11xp-buffalo-01-moth.jpg
b'New York City',b'\xe2\x80\x98My Husband and I Got Married at the City Clerk\xe2\x80\x99s Office in February\xe2\x80\x99',"b'Sun, 10 Apr 2022 07:00:09 +0000'","b'A celebratory brunch, testing a theory on the M14 and more reader tales of New York City in this week\xe2\x80\x99s Metropolitan Diary.'",b'https://www.nytimes.com/2022/04/10/nyregion/metropolitan-diary.html',
b'Elderly',b'New Jersey Republican Stronghold Has State\xe2\x80\x99s Worst Virus Death Rate',"b'Sun, 10 Apr 2022 15:04:40 +0000'","b'Ocean County, a predominantly white and middle-class community in central New Jersey, also has low vaccination rates.'",b'https://www.nytimes.com/2022/04/10/nyregion/ocean-county-new-jersey-covid.html',https://static01.nyt.com/images/2022/03/17/nyregion/00nj-vaccination1/00nj-vaccination1-moth.jpg
"b'Adams, Eric L'",b'The Ups and Downs of Remote Work in New York',"b'Tue, 12 Apr 2022 09:15:01 +0000'","b'People like working in their pajamas. But when employees don\xe2\x80\x99t return to office, the city economy feels the pain.'",b'https://www.nytimes.com/2022/04/12/nyregion/remote-work-new-york.html',https://static01.nyt.com/images/2022/04/12/multimedia/12nytoday-rto/12nytoday-rto-moth.jpg
